"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Mohamed Sanu",3200,"Cin@Pit 01:00PM ET",7.233,"Cin"
"RB","Joique Bell",3200,"Det@KC 09:30AM ET",5.700,"Det"
"DST","Texans",3100,"Ten@Hou 01:00PM ET",4.286,"Hou"
"DST","Vikings",3100,"Min@Chi 01:00PM ET",8.500,"Min"
"TE","Eric Ebron",3100,"Det@KC 09:30AM ET",12.960,"Det"
"WR","Dorial Green-Beckham",3100,"Ten@Hou 01:00PM ET",4.533,"Ten"
"DST","Bengals",3000,"Cin@Pit 01:00PM ET",7.000,"Cin"
"DST","Ravens",3000,"SD@Bal 01:00PM ET",5.857,"Bal"
"WR","Lance Moore",3000,"Det@KC 09:30AM ET",7.971,"Det"
"WR","Jason Avant",3000,"Det@KC 09:30AM ET",2.229,"KC"
"RB","DeAngelo Williams",3000,"Cin@Pit 01:00PM ET",7.671,"Pit"
"WR","Andre Caldwell",3000,"GB@Den 08:30PM ET",1.283,"Den"
"WR","Dwayne Bowe",3000,"Ari@Cle 01:00PM ET",0.000,"Cle"
"RB","Tyler Clutts",3000,"Sea@Dal 04:25PM ET",0.233,"Dal"
"WR","Harry Douglas",3000,"Ten@Hou 01:00PM ET",4.500,"Ten"
"WR","Eric Weems",3000,"TB@Atl 01:00PM ET",0.000,"Atl"
"WR","Jerricho Cotchery",3000,"Ind@Car 08:30PM ET",5.750,"Car"
"RB","Ahmad Bradshaw",3000,"Ind@Car 08:30PM ET",2.450,"Ind"
"RB","Cedric Peerman",3000,"Cin@Pit 01:00PM ET",0.000,"Cin"
"WR","Jerome Simpson",3000,"SF@StL 01:00PM ET",0,"SF"
"RB","Mike Tolbert",3000,"Ind@Car 08:30PM ET",5.367,"Car"
"WR","Andrew Hawkins",3000,"Ari@Cle 01:00PM ET",6.100,"Cle"
"WR","Darrius Heyward-Bey",3000,"Cin@Pit 01:00PM ET",7.129,"Pit"
"RB","John Kuhn",3000,"GB@Den 08:30PM ET",2.033,"GB"
"WR","Marlon Moore",3000,"Ari@Cle 01:00PM ET",0.417,"Cle"
"WR","Brandon Tate",3000,"Cin@Pit 01:00PM ET",2.083,"Cin"
"WR","Louis Murphy",3000,"TB@Atl 01:00PM ET",4.967,"TB"
"RB","Antone Smith",3000,"Min@Chi 01:00PM ET",0,"Chi"
"WR","Brian Hartline",3000,"Ari@Cle 01:00PM ET",3.857,"Cle"
"RB","Donald Brown",3000,"SD@Bal 01:00PM ET",0.000,"SD"
"RB","Jorvorskie Lane",3000,"TB@Atl 01:00PM ET",0.000,"TB"
"WR","Jordan Norwood",3000,"GB@Den 08:30PM ET",3.167,"Den"
"RB","Marcel Reece",3000,"NYJ@Oak 04:05PM ET",8.900,"Oak"
"RB","Bruce Miller",3000,"SF@StL 01:00PM ET",2.557,"SF"
"WR","Marc Mariani",3000,"Min@Chi 01:00PM ET",0.000,"Chi"
"WR","Jacoby Jones",3000,"SD@Bal 01:00PM ET",0.000,"SD"
"RB","Fred Jackson",3000,"Sea@Dal 04:25PM ET",5.814,"Sea"
"WR","Jeremy Ross",3000,"SD@Bal 01:00PM ET",3.967,"Bal"
"RB","Chase Reynolds",3000,"SF@StL 01:00PM ET",0.000,"StL"
"RB","C.J. Spiller",3000,"NYG@NO 01:00PM ET",8.467,"NO"
"RB","Fozzy Whittaker",3000,"Ind@Car 08:30PM ET",1.917,"Car"
"RB","Matt Asiata",3000,"Min@Chi 01:00PM ET",2.800,"Min"
"RB","Taiwan Jones",3000,"NYJ@Oak 04:05PM ET",3.525,"Oak"
"WR","Charles Johnson",3000,"Min@Chi 01:00PM ET",3.425,"Min"
"WR","Brian Quick",3000,"SF@StL 01:00PM ET",0.667,"StL"
"WR","Dontrelle Inman",3000,"SD@Bal 01:00PM ET",4.533,"SD"
"WR","Greg Little",3000,"Cin@Pit 01:00PM ET",0,"Cin"
"WR","Jeremy Kerley",3000,"NYJ@Oak 04:05PM ET",4.500,"NYJ"
"RB","Anthony Sherman",3000,"Det@KC 09:30AM ET",0.471,"KC"
"RB","Will Tukuafu",3000,"Sea@Dal 04:25PM ET",0.000,"Sea"
"RB","Robert Turbin",3000,"Ari@Cle 01:00PM ET",4.250,"Cle"
"RB","Bilal Powell",3000,"NYJ@Oak 04:05PM ET",7.360,"NYJ"
"RB","Will Johnson",3000,"Cin@Pit 01:00PM ET",0.957,"Pit"
"RB","Bobby Rainey",3000,"TB@Atl 01:00PM ET",0.933,"TB"
"RB","Roy Helu Jr.",3000,"NYJ@Oak 04:05PM ET",3.760,"Oak"
"RB","Patrick DiMarco",3000,"TB@Atl 01:00PM ET",1.157,"Atl"
"RB","George Winn",3000,"Det@KC 09:30AM ET",0.000,"Det"
"RB","Austin Johnson",3000,"NYG@NO 01:00PM ET",1.880,"NO"
"RB","Chris Polk",3000,"Ten@Hou 01:00PM ET",5.457,"Hou"
"RB","Jarryd Hayne",3000,"SF@StL 01:00PM ET",0.533,"SF"
"WR","Brice Butler",3000,"Sea@Dal 04:25PM ET",3.450,"Dal"
"WR","Cole Beasley",3000,"Sea@Dal 04:25PM ET",6.900,"Dal"
"RB","Zach Line",3000,"Min@Chi 01:00PM ET",3.267,"Min"
"WR","Chris Owusu",3000,"NYJ@Oak 04:05PM ET",4.667,"NYJ"
"WR","Griff Whalen",3000,"Ind@Car 08:30PM ET",1.800,"Ind"
"WR","Brenton Bersin",3000,"Ind@Car 08:30PM ET",2.925,"Car"
"RB","Derrick Coleman",3000,"Sea@Dal 04:25PM ET",0.240,"Sea"
"RB","Jonathan Grimes",3000,"Ten@Hou 01:00PM ET",4.500,"Hou"
"WR","Frankie Hammond Jr.",3000,"Det@KC 09:30AM ET",0.000,"KC"
"WR","Jaron Brown",3000,"Ari@Cle 01:00PM ET",2.300,"Ari"
"WR","Chris Givens",3000,"SD@Bal 01:00PM ET",1.900,"Bal"
"WR","Myles White",3000,"NYG@NO 01:00PM ET",0.000,"NYG"
"WR","B.J. Daniels",3000,"Sea@Dal 04:25PM ET",0.550,"Sea"
"RB","Jordan Todman",3000,"Cin@Pit 01:00PM ET",0.157,"Pit"
"WR","Jarius Wright",3000,"Min@Chi 01:00PM ET",5.017,"Min"
"TE","Ladarius Green",3000,"SD@Bal 01:00PM ET",14.067,"SD"
